sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;wheelSpeed;
1562328524;194696;1562328524;194705;1562328524;194624;0;
1562328524;204667;1562328524;204684;1562328524;204543;0;
1562328524;214626;1562328524;214639;1562328524;214462;0;
1562328524;224659;1562328524;224670;1562328524;224580;0;
1562328524;234737;1562328524;234756;1562328524;234598;0;
1562328524;244420;1562328524;244432;1562328524;244319;0;
1562328524;254611;1562328524;254620;1562328524;254537;0;
1562328524;264671;1562328524;264687;1562328524;264555;0;
1562328524;274702;1562328524;274718;1562328524;274573;0;
1562328524;284680;1562328524;284691;1562328524;284593;0;
1562328524;294543;1562328524;294559;1562328524;294411;0;
1562328524;304624;1562328524;304635;1562328524;304531;0;
1562328524;314633;1562328524;314645;1562328524;314549;0;
1562328524;324368;1562328524;324377;1562328524;324268;0;
1562328524;334648;1562328524;334655;1562328524;334587;0;
1562328524;344734;1562328524;344746;1562328524;344605;0;
1562328524;354667;1562328524;354684;1562328524;354524;0;
1562328524;364676;1562328524;364691;1562328524;364544;0;
1562328524;374567;1562328524;374578;1562328524;374462;0;
1562328524;384702;1562328524;384715;1562328524;384580;0;
1562328524;394711;1562328524;394724;1562328524;394599;0;
1562328524;404420;1562328524;404430;1562328524;404318;0;
1562328524;414670;1562328524;414683;1562328524;414536;0;
1562328524;424685;1562328524;424701;1562328524;424556;0;
1562328524;434720;1562328524;434735;1562328524;434575;0;
1562328524;444679;1562328524;444689;1562328524;444594;0;
1562328524;454524;1562328524;454536;1562328524;454414;0;
1562328524;464631;1562328524;464642;1562328524;464530;0;
1562328524;474632;1562328524;474641;1562328524;474549;0;
1562328524;484368;1562328524;484377;1562328524;484268;0;
1562328524;494669;1562328524;494678;1562328524;494586;0;
1562328524;504733;1562328524;504749;1562328524;504605;0;
1562328524;514635;1562328524;514646;1562328524;514524;0;
1562328524;524637;1562328524;524646;1562328524;524543;0;
1562328524;534723;1562328524;534730;1562328524;534662;0;
1562328524;544675;1562328524;544683;1562328524;544580;0;
1562328524;554678;1562328524;554685;1562328524;554599;0;
1562328524;564408;1562328524;564417;1562328524;564319;0;
1562328524;574598;1562328524;574605;1562328524;574536;0;
1562328524;584656;1562328524;584663;1562328524;584555;0;
1562328524;594658;1562328524;594667;1562328524;594574;0;
1562328524;604680;1562328524;604690;1562328524;604594;0;
1562328524;614511;1562328524;614518;1562328524;614412;0;
1562328524;624629;1562328524;624638;1562328524;624530;0;
1562328524;634622;1562328524;634631;1562328524;634549;0;
1562328524;644377;1562328524;644386;1562328524;644269;0;
1562328524;654735;1562328524;654751;1562328524;654588;0;
1562328524;664694;1562328524;664704;1562328524;664606;0;
1562328524;674606;1562328524;674615;1562328524;674524;0;
1562328524;684637;1562328524;684646;1562328524;684543;0;
1562328524;694573;1562328524;694589;1562328524;694362;0;
1562328524;704680;1562328524;704691;1562328524;704580;0;
1562328524;714681;1562328524;714691;1562328524;714599;0;
1562328524;724415;1562328524;724424;1562328524;724318;0;
1562328524;734629;1562328524;734636;1562328524;734537;0;
1562328524;744642;1562328524;744649;1562328524;744555;0;
1562328524;754661;1562328524;754670;1562328524;754575;0;
1562328524;764686;1562328524;764695;1562328524;764593;0;
1562328524;774290;1562328524;774296;1562328524;774212;0;
1562328524;784625;1562328524;784633;1562328524;784531;0;
1562328524;794643;1562328524;794652;1562328524;794549;0;
1562328524;804402;1562328524;804418;1562328524;804268;0;
1562328524;814692;1562328524;814701;1562328524;814587;0;
1562328524;824686;1562328524;824694;1562328524;824606;0;
1562328524;834595;1562328524;834602;1562328524;834524;0;
1562328524;844606;1562328524;844613;1562328524;844543;0;
1562328524;854540;1562328524;854550;1562328524;854462;0;
1562328524;864667;1562328524;864676;1562328524;864582;0;
1562328524;874674;1562328524;874683;1562328524;874599;0;
1562328524;884396;1562328524;884407;1562328524;884318;0;
1562328524;894633;1562328524;894645;1562328524;894536;0;
1562328524;904623;1562328524;904631;1562328524;904555;0;
1562328524;914641;1562328524;914648;1562328524;914574;0;
1562328524;924672;1562328524;924681;1562328524;924593;0;
1562328524;934473;1562328524;934480;1562328524;934412;0;
1562328524;944597;1562328524;944603;1562328524;944530;0;
1562328524;954628;1562328524;954637;1562328524;954550;0;
1562328524;964343;1562328524;964352;1562328524;964268;0;
1562328524;974659;1562328524;974667;1562328524;974587;0;
1562328524;984577;1562328524;984585;1562328524;984505;0;
1562328524;994590;1562328524;994597;1562328524;994525;0;
1562328525;4598;1562328525;4605;1562328525;4543;0;
1562328525;14543;1562328525;14549;1562328525;14462;0;
1562328525;24656;1562328525;24665;1562328525;24581;0;
1562328525;34670;1562328525;34679;1562328525;34599;0;
1562328525;44629;1562328525;44641;1562328525;44518;0;
1562328525;54608;1562328525;54616;1562328525;54537;0;
1562328525;64625;1562328525;64633;1562328525;64555;0;
1562328525;74641;1562328525;74649;1562328525;74574;0;
1562328525;84651;1562328525;84658;1562328525;84593;0;
1562328525;95140;1562328525;95149;1562328525;95113;0;
1562328525;104589;1562328525;104596;1562328525;104530;0;
1562328525;114622;1562328525;114629;1562328525;114549;0;
1562328525;124331;1562328525;124338;1562328525;124269;0;
1562328525;134648;1562328525;134655;1562328525;134587;0;
1562328525;144566;1562328525;144573;1562328525;144505;0;
1562328525;154629;1562328525;154642;1562328525;154524;0;
1562328525;164630;1562328525;164643;1562328525;164543;0;
1562328525;174454;1562328525;174467;1562328525;174362;0;
1562328525;184665;1562328525;184673;1562328525;184580;0;
1562328525;194599;1562328525;194612;1562328525;194499;0;
1562328525;204299;1562328525;204310;1562328525;204218;0;
