sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;angularVelocityX;angularVelocityY;angularVelocityZ;
1562328524;88821;1562328524;88838;1562328523;862403;-0.001473101;-0.002161002;-0.0002043734;
1562328524;88892;1562328524;88909;1562328523;867403;-0.0005797475;-0.002325629;0.002419992;
1562328524;131232;1562328524;131257;1562328523;872403;-0.0005162461;-0.002038952;0.00101751;
1562328524;131325;1562328524;131343;1562328523;877403;0.000316825;-0.001093629;-0.0001625613;
1562328524;131395;1562328524;131413;1562328523;882403;-3.975767e-05;-0.002335005;0.001033077;
1562328524;131466;1562328524;131484;1562328523;887403;-0.0001245299;-0.001859883;0.000351301;
1562328524;174862;1562328524;174887;1562328523;892403;-0.001303356;-0.002517222;0.000389186;
1562328524;174956;1562328524;174975;1562328523;897403;-0.00111306;-0.0008618945;0.001827965;
1562328524;175032;1562328524;175048;1562328523;902403;-0.0003120505;-0.002438117;0.0005238644;
1562328524;175100;1562328524;175118;1562328523;907403;-0.0008045965;-0.002146444;-0.0001989257;
1562328524;217424;1562328524;217447;1562328523;912403;-0.0009612362;-0.001201861;0.0007272506;
1562328524;217498;1562328524;217511;1562328523;917403;6.985408e-05;-0.002744518;-0.0001373709;
1562328524;217548;1562328524;217560;1562328523;922403;-0.001066194;-0.002699758;0.0005338122;
1562328524;217597;1562328524;217609;1562328523;927403;0.0003816451;-0.001070514;-0.0002720793;
1562328524;260938;1562328524;260954;1562328523;932403;-0.0009329425;-0.0027838;6.9497e-05;
1562328524;260999;1562328524;261009;1562328523;937403;-0.0001105639;-0.001594306;0.000924029;
1562328524;261046;1562328524;261056;1562328523;942403;0.001336538;-0.002396663;-3.421303e-05;
1562328524;261112;1562328524;261122;1562328523;947403;-0.001456228;-0.002251894;-0.0001821937;
1562328524;303398;1562328524;303413;1562328523;952403;-0.0008749896;-0.001338454;0.0007003766;
1562328524;303456;1562328524;303466;1562328523;957403;-0.0006619443;-0.001411541;0.0001641866;
1562328524;303502;1562328524;303512;1562328523;962403;0.0002783976;-0.002795852;0.000370066;
1562328524;303549;1562328524;303559;1562328523;967403;-0.0004247378;-0.001156591;-0.000604843;
1562328524;303597;1562328524;303606;1562328523;972403;-0.0002418903;-0.001550627;0.001218585;
1562328524;303643;1562328524;303653;1562328523;977403;-0.0005446094;-0.001883652;0.0008427029;
1562328524;346971;1562328524;346985;1562328523;982403;0.0001443217;-0.00166175;-0.0005390139;
1562328524;347022;1562328524;347031;1562328523;987403;-5.800286e-05;-0.001857015;7.960118e-05;
1562328524;347060;1562328524;347068;1562328523;992403;-0.0006007816;-0.001544829;-0.000399889;
1562328524;347100;1562328524;347114;1562328523;997403;-0.0007758005;-0.001459201;0.001043704;
1562328524;389478;1562328524;389502;1562328524;2403;-0.0008246708;-0.001812928;-0.0003313489;
1562328524;389568;1562328524;389585;1562328524;7403;0.0004930156;-0.001423752;0.0006195486;
1562328524;389638;1562328524;389656;1562328524;12403;-0.0008742807;-0.0007567372;0.001104228;
1562328524;389710;1562328524;389727;1562328524;17403;-0.0002965587;-0.002095426;-0.0006443221;
1562328524;389786;1562328524;389801;1562328524;22403;0.0006554594;-0.0016911;6.098697e-05;
1562328524;433171;1562328524;433194;1562328524;27403;-0.0004691154;-0.001419858;0.001009727;
1562328524;433254;1562328524;433271;1562328524;32403;-0.0003823166;-0.001975212;0.001105998;
1562328524;433323;1562328524;433339;1562328524;37403;-5.938204e-05;-0.00211658;-0.0004362676;
1562328524;433400;1562328524;433414;1562328524;42403;-0.0002702873;-0.001538291;0.0005472161;
1562328524;475743;1562328524;475767;1562328524;47403;-0.0004596869;-0.0007334282;0.0005744573;
1562328524;475828;1562328524;475847;1562328524;52403;-5.343026e-05;-0.00161885;0.0009825847;
1562328524;475900;1562328524;475918;1562328524;57403;-0.0002431036;-0.0009932194;0.001159998;
1562328524;475973;1562328524;475990;1562328524;62403;-0.001104534;-0.001185776;-0.0003767986;
1562328524;476043;1562328524;476060;1562328524;67403;-0.0001989957;-0.002193056;0.0004163849;
1562328524;476112;1562328524;476130;1562328524;72403;-0.0002324636;-0.002566409;0.001491082;
1562328524;476182;1562328524;476200;1562328524;77403;-0.0005214329;-0.0008348522;0.001002092;
1562328524;518539;1562328524;518562;1562328524;82403;0.0003758501;-0.002886637;0.001640278;
1562328524;518628;1562328524;518644;1562328524;87403;0.0002552393;-0.001901789;0.000352788;
1562328524;518697;1562328524;518716;1562328524;92403;-0.0003844142;-0.001601525;0.001510708;
1562328524;518768;1562328524;518786;1562328524;97403;-0.0002127647;-0.002037845;-4.486096e-05;
1562328524;562155;1562328524;562177;1562328524;102403;-0.0002686482;-0.001923778;0.0004400906;
1562328524;562242;1562328524;562259;1562328524;107403;-0.001057971;-0.002027542;0.001364691;
1562328524;562311;1562328524;562328;1562328524;112403;-0.0002899059;-0.0006534549;-0.0008554405;
1562328524;562380;1562328524;562396;1562328524;117403;0.000901021;-0.001749664;0.0003657601;
1562328524;604754;1562328524;604776;1562328524;122403;-0.001033508;-0.001191526;0.0007486534;
1562328524;604833;1562328524;604851;1562328524;127403;0.0001483602;-0.001917839;0.0001833423;
1562328524;604903;1562328524;604920;1562328524;132403;-0.0005574377;-0.002078583;1.110208e-05;
1562328524;648276;1562328524;648302;1562328524;137403;0.0002211726;-0.001368178;0.0005168544;
