sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;latitude;longitude;
1562328526;255554;1562328526;255576;1562328526;255546;57.709205714;11.946689223;
1562328526;295714;1562328526;295730;1562328526;295709;57.709205753;11.946689187;
1562328526;335851;1562328526;335867;1562328526;335845;57.709205783;11.946689161;
1562328526;375995;1562328526;376021;1562328526;375986;57.709205783;11.946689161;
1562328526;416154;1562328526;416176;1562328526;416146;57.709205822;11.946689126;
1562328526;456302;1562328526;456324;1562328526;456295;57.709205822;11.946689126;
1562328526;496467;1562328526;496488;1562328526;496459;57.709205822;11.946689126;
1562328526;536633;1562328526;536654;1562328526;536625;57.709206022;11.946688957;
1562328526;576801;1562328526;576830;1562328526;576792;57.709206022;11.946688957;
1562328526;616979;1562328526;616998;1562328526;616971;57.709206062;11.946688919;
1562328526;657124;1562328526;657148;1562328526;657117;57.709206062;11.946688919;
1562328526;697269;1562328526;697285;1562328526;697263;57.709206102;11.946688883;
1562328526;737406;1562328526;737422;1562328526;737400;57.709206102;11.946688883;
1562328526;777547;1562328526;777567;1562328526;777540;57.709206142;11.946688849;
1562328526;817685;1562328526;817706;1562328526;817677;57.709206142;11.946688849;
1562328526;857827;1562328526;857844;1562328526;857821;57.709206386;11.946688639;
1562328526;897972;1562328526;898003;1562328526;897962;57.709206386;11.946688639;
1562328526;938145;1562328526;938162;1562328526;938140;57.709206427;11.946688602;
1562328526;978287;1562328526;978312;1562328526;978279;57.709206427;11.946688602;
1562328527;18449;1562328527;18478;1562328527;18439;57.709206468;11.946688561;
1562328527;58777;1562328527;58795;1562328527;58624;57.709206468;11.946688561;
1562328527;98918;1562328527;98936;1562328527;98911;57.709206468;11.946688561;
1562328527;139063;1562328527;139080;1562328527;139057;57.709206509;11.946688524;
1562328527;179202;1562328527;179224;1562328527;179195;57.709206509;11.946688524;
1562328527;219351;1562328527;219372;1562328527;219343;57.709206509;11.946688524;
1562328527;259501;1562328527;259524;1562328527;259494;57.709206759;11.946688296;
1562328527;299663;1562328527;299682;1562328527;299656;57.709206759;11.946688296;
1562328527;339804;1562328527;339825;1562328527;339798;57.709206801;11.946688259;
1562328527;379972;1562328527;380002;1562328527;379962;57.709206843;11.946688223;
1562328527;420144;1562328527;420168;1562328527;420136;57.709206843;11.946688223;
1562328527;460300;1562328527;460322;1562328527;460292;57.709206885;11.946688185;
1562328527;500464;1562328527;500492;1562328527;500456;57.709206885;11.946688185;
1562328527;540645;1562328527;540681;1562328527;540634;57.709206885;11.946688185;
1562328527;580837;1562328527;580859;1562328527;580828;57.70920714;11.946687965;
