sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;accelerationX;accelerationY;accelerationZ;
1562328524;131285;1562328524;131305;1562328523;872403;-0.4043953;-0.04339835;-9.784955;
1562328524;131358;1562328524;131377;1562328523;877403;-0.4181069;-0.04834682;-9.788912;
1562328524;131428;1562328524;131447;1562328523;882403;-0.4203303;-0.04325036;-9.783011;
1562328524;131499;1562328524;131518;1562328523;887403;-0.4102833;-0.03185633;-9.796631;
1562328524;174916;1562328524;174935;1562328523;892403;-0.4134746;-0.04751227;-9.800992;
1562328524;174989;1562328524;175008;1562328523;897403;-0.411418;-0.05625536;-9.808064;
1562328524;175063;1562328524;175081;1562328523;902403;-0.4081118;-0.05005344;-9.807041;
1562328524;175132;1562328524;175150;1562328523;907403;-0.4101774;-0.06089994;-9.817531;
1562328524;217471;1562328524;217484;1562328523;912403;-0.4119352;-0.04502171;-9.812061;
1562328524;217522;1562328524;217534;1562328523;917403;-0.4144317;-0.04650383;-9.818523;
1562328524;217571;1562328524;217583;1562328523;922403;-0.4183692;-0.03518287;-9.809255;
1562328524;217620;1562328524;217632;1562328523;927403;-0.400103;-0.03366969;-9.815953;
1562328524;260972;1562328524;260984;1562328523;932403;-0.3882944;-0.03045724;-9.805221;
1562328524;261021;1562328524;261032;1562328523;937403;-0.3875643;-0.03358828;-9.797238;
1562328524;261069;1562328524;261079;1562328523;942403;-0.3962059;-0.04646296;-9.79626;
1562328524;261135;1562328524;261146;1562328523;947403;-0.3913586;-0.03902294;-9.797133;
1562328524;303429;1562328524;303440;1562328523;952403;-0.393042;-0.05280801;-9.788708;
1562328524;303478;1562328524;303488;1562328523;957403;-0.4000594;-0.05577588;-9.805172;
1562328524;303524;1562328524;303535;1562328523;962403;-0.3900658;-0.04119134;-9.807596;
1562328524;303571;1562328524;303582;1562328523;967403;-0.3946713;-0.04937513;-9.808651;
1562328524;303619;1562328524;303629;1562328523;972403;-0.401375;-0.05114077;-9.799824;
1562328524;303666;1562328524;303676;1562328523;977403;-0.3940169;-0.04466354;-9.792809;
1562328524;347002;1562328524;347011;1562328523;982403;-0.3928045;-0.05408804;-9.809471;
1562328524;347040;1562328524;347048;1562328523;987403;-0.4132887;-0.05324506;-9.805126;
1562328524;347076;1562328524;347085;1562328523;992403;-0.4194432;-0.06540424;-9.80174;
1562328524;347127;1562328524;347154;1562328523;997403;-0.4120046;-0.05793553;-9.808505;
1562328524;389525;1562328524;389545;1562328524;2403;-0.4228128;-0.06941337;-9.805479;
1562328524;389601;1562328524;389619;1562328524;7403;-0.4124726;-0.0630167;-9.798985;
1562328524;389672;1562328524;389690;1562328524;12403;-0.4022474;-0.06724329;-9.795839;
1562328524;389743;1562328524;389761;1562328524;17403;-0.4027035;-0.05954096;-9.8137;
1562328524;389816;1562328524;389835;1562328524;22403;-0.4137159;-0.03827122;-9.805352;
1562328524;433215;1562328524;433234;1562328524;27403;-0.4053561;-0.04064429;-9.80716;
1562328524;433287;1562328524;433304;1562328524;32403;-0.4133184;-0.05298106;-9.794035;
1562328524;433355;1562328524;433372;1562328524;37403;-0.4033081;-0.05292377;-9.793633;
1562328524;433429;1562328524;433447;1562328524;42403;-0.4021637;-0.04480328;-9.813437;
1562328524;475789;1562328524;475809;1562328524;47403;-0.4026012;-0.05468221;-9.803521;
1562328524;475862;1562328524;475881;1562328524;52403;-0.4034382;-0.04101566;-9.802461;
1562328524;475933;1562328524;475951;1562328524;57403;-0.4022987;-0.03929378;-9.785407;
1562328524;476005;1562328524;476023;1562328524;62403;-0.3986762;-0.05789321;-9.779892;
1562328524;476075;1562328524;476094;1562328524;67403;-0.3933768;-0.04081733;-9.784595;
1562328524;476145;1562328524;476163;1562328524;72403;-0.3884773;-0.0393919;-9.787971;
1562328524;476215;1562328524;476233;1562328524;77403;-0.3882673;-0.05049349;-9.792533;
1562328524;518583;1562328524;518603;1562328524;82403;-0.4016084;-0.05275435;-9.789855;
1562328524;518660;1562328524;518677;1562328524;87403;-0.3915801;-0.04423318;-9.787134;
1562328524;518731;1562328524;518750;1562328524;92403;-0.385918;-0.04628655;-9.793992;
1562328524;518801;1562328524;518819;1562328524;97403;-0.3978601;-0.03727071;-9.792542;
1562328524;562198;1562328524;562218;1562328524;102403;-0.4105209;-0.06040606;-9.793709;
1562328524;562274;1562328524;562292;1562328524;107403;-0.4055212;-0.0744562;-9.792298;
1562328524;562343;1562328524;562361;1562328524;112403;-0.4029978;-0.06033715;-9.811592;
1562328524;562412;1562328524;562429;1562328524;117403;-0.4135254;-0.05381683;-9.819877;
1562328524;604795;1562328524;604814;1562328524;122403;-0.4072677;-0.04550987;-9.813334;
1562328524;604866;1562328524;604884;1562328524;127403;-0.419432;-0.04692855;-9.816347;
1562328524;604935;1562328524;604953;1562328524;132403;-0.4078515;-0.04140614;-9.806388;
1562328524;648325;1562328524;648345;1562328524;137403;-0.405165;-0.04261557;-9.806577;
1562328524;648411;1562328524;648429;1562328524;142403;-0.4222892;-0.03293785;-9.824121;
1562328524;648481;1562328524;648499;1562328524;147403;-0.4179742;-0.03394099;-9.823317;
1562328524;648550;1562328524;648568;1562328524;152403;-0.4055779;-0.03089127;-9.809392;
1562328524;648620;1562328524;648638;1562328524;157403;-0.4033071;-0.03612317;-9.803673;
1562328524;690973;1562328524;690994;1562328524;162403;-0.4236891;-0.03308678;-9.802851;
1562328524;691065;1562328524;691088;1562328524;167403;-0.4120981;-0.0312864;-9.808837;
1562328524;691147;1562328524;691167;1562328524;172403;-0.405746;-0.05268231;-9.79807;
1562328524;691222;1562328524;691239;1562328524;177403;-0.4028803;-0.07202885;-9.793639;
1562328524;734652;1562328524;734678;1562328524;182403;-0.4117996;-0.07166163;-9.78794;
1562328524;734742;1562328524;734760;1562328524;187403;-0.4069263;-0.0703462;-9.798584;
1562328524;734816;1562328524;734835;1562328524;192403;-0.4033127;-0.07091604;-9.795305;
1562328524;777178;1562328524;777193;1562328524;197403;-0.4040342;-0.06827272;-9.796319;
1562328524;777245;1562328524;777262;1562328524;202403;-0.4087044;-0.05812234;-9.805166;
1562328524;777312;1562328524;777331;1562328524;207403;-0.4173574;-0.04480361;-9.802685;
1562328524;777379;1562328524;777398;1562328524;212403;-0.4015137;-0.05197978;-9.802039;
1562328524;777445;1562328524;777463;1562328524;217403;-0.392643;-0.04530379;-9.802575;
1562328524;777510;1562328524;777527;1562328524;222403;-0.4099768;-0.04034644;-9.795927;
1562328524;819847;1562328524;819865;1562328524;227403;-0.402068;-0.05175237;-9.801492;
1562328524;819913;1562328524;819930;1562328524;232403;-0.4101494;-0.04721473;-9.797311;
1562328524;819975;1562328524;819992;1562328524;237403;-0.3921611;-0.03872813;-9.800081;
1562328524;820037;1562328524;820053;1562328524;242403;-0.4093208;-0.03148773;-9.802534;
1562328524;863420;1562328524;863440;1562328524;247403;-0.4043593;-0.04573407;-9.791188;
1562328524;863492;1562328524;863511;1562328524;252403;-0.4053649;-0.03526377;-9.791082;
1562328524;863562;1562328524;863580;1562328524;257403;-0.4107596;-0.03547157;-9.810772;
1562328524;863631;1562328524;863649;1562328524;262403;-0.4228461;-0.0450828;-9.818851;
1562328524;905931;1562328524;905940;1562328524;267403;-0.4130382;-0.04396369;-9.821483;
