sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;groundSpeed;
1562328526;777584;1562328526;777592;1562328526;777540;0.1237842;
1562328526;817723;1562328526;817732;1562328526;817677;0.1237842;
1562328526;857858;1562328526;857870;1562328526;857821;0.1255614;
1562328526;898024;1562328526;898041;1562328526;897962;0.1255614;
1562328526;938176;1562328526;938189;1562328526;938140;0.1258299;
1562328526;978335;1562328526;978347;1562328526;978279;0.1258299;
1562328527;18506;1562328527;18523;1562328527;18439;0.1259681;
1562328527;58814;1562328527;58826;1562328527;58624;0.1259681;
1562328527;98956;1562328527;98969;1562328527;98911;0.1259681;
1562328527;139096;1562328527;139109;1562328527;139057;0.1267453;
1562328527;179243;1562328527;179255;1562328527;179195;0.1267453;
1562328527;219391;1562328527;219403;1562328527;219343;0.1267453;
1562328527;259542;1562328527;259558;1562328527;259494;0.1287496;
1562328527;299696;1562328527;299707;1562328527;299656;0.1287496;
1562328527;339841;1562328527;339858;1562328527;339798;0.1287901;
1562328527;380022;1562328527;380032;1562328527;379962;0.1292635;
1562328527;420186;1562328527;420196;1562328527;420136;0.1292635;
1562328527;460339;1562328527;460356;1562328527;460292;0.129372;
1562328527;500509;1562328527;500526;1562328527;500456;0.129372;
1562328527;540704;1562328527;540723;1562328527;540634;0.129372;
1562328527;580875;1562328527;580886;1562328527;580828;0.1314197;
1562328527;621027;1562328527;621037;1562328527;620983;0.1318686;
1562328527;661173;1562328527;661188;1562328527;661124;0.1318686;
1562328527;701327;1562328527;701337;1562328527;701283;0.1318686;
1562328527;741476;1562328527;741486;1562328527;741432;0.1323421;
1562328527;781649;1562328527;781668;1562328527;781583;0.1323421;
1562328527;821830;1562328527;821841;1562328527;821773;0.1327414;
1562328527;861985;1562328527;861998;1562328527;861936;0.1327414;
1562328527;902147;1562328527;902158;1562328527;902093;0.1331929;
1562328527;942298;1562328527;942308;1562328527;942251;0.1331929;
1562328527;982472;1562328527;982489;1562328527;982403;0.1340772;
1562328528;22677;1562328528;22696;1562328528;22604;0.1340772;
1562328528;62859;1562328528;62868;1562328528;62801;0.134285;
1562328528;103026;1562328528;103046;1562328528;102964;0.134285;
1562328528;143246;1562328528;143265;1562328528;143166;0.134066;
1562328528;183444;1562328528;183460;1562328528;183375;0.134066;
1562328528;223638;1562328528;223652;1562328528;223566;0.134066;
1562328528;263841;1562328528;263859;1562328528;263754;0.134066;
1562328528;304038;1562328528;304051;1562328528;303969;0.1359314;
1562328528;344241;1562328528;344251;1562328528;344170;0.1359314;
1562328528;384432;1562328528;384446;1562328528;384350;0.1361777;
1562328528;424631;1562328528;424649;1562328528;424555;0.1361777;
1562328528;464803;1562328528;464812;1562328528;464749;0.1364889;
1562328528;504957;1562328528;504967;1562328528;504909;0.1364889;
1562328528;545139;1562328528;545154;1562328528;545059;0.1365259;
1562328528;585326;1562328528;585336;1562328528;585269;0.1365259;
1562328528;625500;1562328528;625513;1562328528;625428;0.1365496;
1562328528;665663;1562328528;665673;1562328528;665614;0.1378594;
1562328528;705820;1562328528;705833;1562328528;705762;0.1378021;
1562328528;746019;1562328528;746032;1562328528;745946;0.1378021;
1562328528;786207;1562328528;786228;1562328528;786137;0.1380293;
1562328528;826397;1562328528;826411;1562328528;826335;0.1380293;
1562328528;866787;1562328528;866799;1562328528;866519;0.1381321;
1562328528;906982;1562328528;907000;1562328528;906903;0.1381321;
1562328528;947201;1562328528;947215;1562328528;947122;0.1381321;
1562328528;987401;1562328528;987411;1562328528;987327;0.1392979;
1562328529;27600;1562328529;27614;1562328529;27522;0.1397583;
1562328529;67796;1562328529;67805;1562328529;67727;0.1397583;
1562328529;107966;1562328529;107976;1562328529;107902;0.1403966;
1562328529;148160;1562328529;148170;1562328529;148086;0.1403966;
1562328529;188364;1562328529;188380;1562328529;188280;0.140558;
1562328529;228586;1562328529;228600;1562328529;228506;0.140558;
1562328529;268794;1562328529;268809;1562328529;268716;0.140374;
1562328529;309010;1562328529;309024;1562328529;308926;0.1405918;
1562328529;349232;1562328529;349257;1562328529;349148;0.1405918;
1562328529;389454;1562328529;389469;1562328529;389374;0.1405918;
1562328529;429663;1562328529;429673;1562328529;429600;0.1417204;
1562328529;469844;1562328529;469853;1562328529;469776;0.1417204;
1562328529;510047;1562328529;510058;1562328529;509951;0.1417204;
1562328529;550245;1562328529;550255;1562328529;550170;0.1417204;
1562328529;590447;1562328529;590462;1562328529;590361;0.1440887;
1562328529;630678;1562328529;630688;1562328529;630605;0.1440887;
1562328529;670867;1562328529;670892;1562328529;670792;0.144965;
1562328529;711098;1562328529;711107;1562328529;711014;0.145315;
1562328529;751273;1562328529;751282;1562328529;751205;0.145315;
1562328529;791467;1562328529;791483;1562328529;791388;0.1456412;
1562328529;831671;1562328529;831681;1562328529;831601;0.1456412;
1562328529;871863;1562328529;871876;1562328529;871786;0.145809;
1562328529;912068;1562328529;912077;1562328529;912010;0.145809;
1562328529;952217;1562328529;952233;1562328529;952171;0.1457947;
1562328529;992385;1562328529;992412;1562328529;992337;0.1459318;
1562328530;32566;1562328530;32579;1562328530;32520;0.1459318;
1562328530;72736;1562328530;72748;1562328530;72687;0.1459318;
1562328530;112911;1562328530;112923;1562328530;112843;0.1464265;
1562328530;153087;1562328530;153099;1562328530;153018;0.1464265;
1562328530;193266;1562328530;193288;1562328530;193191;0.1466547;
1562328530;233472;1562328530;233491;1562328530;233411;0.1466547;
1562328530;273638;1562328530;273660;1562328530;273599;0.1482726;
1562328530;313857;1562328530;313875;1562328530;313757;0.1482726;
1562328530;354072;1562328530;354085;1562328530;353994;0.1485467;
1562328530;394258;1562328530;394271;1562328530;394182;0.1485467;
1562328530;434423;1562328530;434433;1562328530;434381;0.1483708;
1562328530;474580;1562328530;474594;1562328530;474537;0.1483708;
1562328530;514777;1562328530;514808;1562328530;514696;0.1486999;
1562328530;554968;1562328530;554981;1562328530;554911;0.1492254;
1562328530;595135;1562328530;595149;1562328530;595078;0.1492254;
1562328530;635292;1562328530;635311;1562328530;635243;0.1492254;
1562328530;675497;1562328530;675513;1562328530;675410;0.1492254;
1562328530;715690;1562328530;715700;1562328530;715637;0.1492254;
1562328530;755861;1562328530;755873;1562328530;755794;0.1508415;
1562328530;796029;1562328530;796038;1562328530;795969;0.1508415;
1562328530;836208;1562328530;836222;1562328530;836132;0.1508867;
1562328530;876446;1562328530;876464;1562328530;876350;0.1509285;
1562328530;916662;1562328530;916675;1562328530;916585;0.1509285;
1562328530;956833;1562328530;956842;1562328530;956773;0.1510602;
1562328530;996970;1562328530;996981;1562328530;996931;0.1510602;
1562328531;37107;1562328531;37119;1562328531;37073;0.1515448;
1562328531;77300;1562328531;77312;1562328531;77220;0.1515448;
1562328531;117474;1562328531;117484;1562328531;117404;0.1517828;
1562328531;157616;1562328531;157629;1562328531;157576;0.1517828;
1562328531;197768;1562328531;197778;1562328531;197727;0.1517828;
1562328531;237903;1562328531;237914;1562328531;237867;0.1517914;
1562328531;278099;1562328531;278115;1562328531;278010;0.1517914;
1562328531;318284;1562328531;318294;1562328531;318220;0.1517914;
1562328531;358444;1562328531;358456;1562328531;358380;0.1522912;
1562328531;398607;1562328531;398619;1562328531;398558;0.1522912;
1562328531;438763;1562328531;438777;1562328531;438716;0.1531934;
1562328531;478951;1562328531;478965;1562328531;478880;0.1531934;
1562328531;519119;1562328531;519132;1562328531;519062;0.1531934;
1562328531;559298;1562328531;559317;1562328531;559229;0.1542727;
1562328531;599471;1562328531;599484;1562328531;599428;0.1542727;
1562328531;639607;1562328531;639615;1562328531;639576;0.1546474;
1562328531;679769;1562328531;679778;1562328531;679706;0.1546474;
1562328531;719901;1562328531;719912;1562328531;719863;0.1551353;
1562328531;760044;1562328531;760054;1562328531;760007;0.1561549;
1562328531;800162;1562328531;800174;1562328531;800135;0.1561549;
1562328531;840289;1562328531;840301;1562328531;840260;0.1562606;
1562328531;880605;1562328531;880615;1562328531;880396;0.1562606;
1562328531;920788;1562328531;920802;1562328531;920720;0.1562606;
1562328531;960963;1562328531;960973;1562328531;960906;0.1563786;
1562328532;1138;1562328532;1158;1562328532;1064;0.1563866;
1562328532;41320;1562328532;41337;1562328532;41268;0.1563866;
1562328532;81529;1562328532;81542;1562328532;81446;0.156948;
1562328532;121708;1562328532;121724;1562328532;121644;0.156948;
1562328532;161873;1562328532;161882;1562328532;161818;0.1573384;
1562328532;202014;1562328532;202023;1562328532;201972;0.1573384;
1562328532;242180;1562328532;242198;1562328532;242112;0.1580469;
1562328532;282380;1562328532;282394;1562328532;282310;0.1580469;
1562328532;322551;1562328532;322565;1562328532;322493;0.1579176;
1562328532;362734;1562328532;362746;1562328532;362689;0.1579176;
1562328532;402903;1562328532;402915;1562328532;402866;0.1580334;
1562328532;443094;1562328532;443114;1562328532;443018;0.1597782;
1562328532;483451;1562328532;483475;1562328532;483258;0.1597782;
1562328532;523672;1562328532;523681;1562328532;523611;0.1597782;
1562328532;563827;1562328532;563839;1562328532;563771;0.1600776;
1562328532;603997;1562328532;604017;1562328532;603934;0.1600924;
1562328532;644224;1562328532;644242;1562328532;644136;0.1600924;
1562328532;684427;1562328532;684437;1562328532;684356;0.16003;
1562328532;724582;1562328532;724595;1562328532;724523;0.16003;
1562328532;764725;1562328532;764733;1562328532;764688;0.1601006;
